frame, quadrant, color, entry/exit 
1, 1, White, entry
1, 2, None, entry
1, 3, None, entry
1, 4, None, entry
2, 1, White, entry
2, 2, None, entry
2, 3, None, entry
2, 4, None, entry
3, 1, White, entry
3, 2, None, entry
3, 3, None, entry
3, 4, None, entry
4, 1, White, entry
4, 2, None, entry
4, 3, None, entry
4, 4, None, entry
5, 1, White, entry
5, 2, None, entry
5, 3, None, entry
5, 4, None, entry
6, 1, White, entry
6, 2, None, entry
6, 3, None, entry
6, 4, None, entry
7, 1, White, entry
7, 2, None, entry
7, 3, None, entry
7, 4, None, entry
8, 1, White, entry
8, 2, None, entry
8, 3, None, entry
8, 4, None, entry
9, 1, White, entry
9, 2, None, entry
9, 3, None, entry
9, 4, None, entry
10, 1, White, entry
10, 2, None, entry
10, 3, None, entry
10, 4, None, entry
11, 1, White, entry
11, 2, None, entry
11, 3, None, entry
11, 4, None, entry
12, 1, White, entry
12, 2, None, entry
12, 3, None, entry
12, 4, None, entry
13, 1, White, entry
13, 2, None, entry
13, 3, None, entry
13, 4, None, entry
14, 1, White, entry
14, 2, None, entry
14, 3, None, entry
14, 4, None, entry
15, 1, White, entry
15, 2, None, entry
15, 3, None, entry
15, 4, None, entry
16, 1, White, entry
16, 2, None, entry
16, 3, None, entry
16, 4, None, entry
17, 1, White, entry
17, 2, None, entry
17, 3, None, entry
17, 4, None, entry
18, 1, White, entry
18, 2, None, entry
18, 3, None, entry
18, 4, None, entry
19, 1, White, entry
19, 2, None, entry
19, 3, None, entry
19, 4, None, entry
20, 1, White, entry
20, 2, None, entry
20, 3, None, entry
20, 4, None, entry
21, 1, White, entry
21, 2, None, entry
21, 3, None, entry
21, 4, None, entry
22, 1, White, entry
22, 2, None, entry
22, 3, None, entry
22, 4, None, entry
23, 1, White, entry
23, 2, None, entry
23, 3, None, entry
23, 4, None, entry
24, 1, White, entry
24, 2, None, entry
24, 3, None, entry
24, 4, None, entry
25, 1, White, entry
25, 2, None, entry
25, 3, None, entry
25, 4, None, entry
26, 1, White, entry
26, 2, None, entry
26, 3, None, entry
26, 4, None, entry
27, 1, White, entry
27, 2, None, entry
27, 3, None, entry
27, 4, None, entry
